OrderNumber;Sales Channel;OrderDate;ShipDate;DeliveryDate;CurrencyCode;_SalesTeamID;salesteam name;_StoreID;StateName;statecode;household income;population;City Name;_ProductID;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0005120;In-Store;16/01/2020;22/01/2020;26/01/2020;USD;9;Joshua Ryan;346;Utah;UT;75330;192.672;Salt Lake City;27;5;7,5%;1.031,80;815,12
SO - 0005122;In-Store;16/01/2020;21/01/2020;30/01/2020;USD;6;Joshua Bennett;168;Illinois;IL;37478;106.229;Niles (Township);2;1;15%;2.525,90;1.869,17
SO - 0005123;Online;16/01/2020;06/02/2020;07/02/2020;USD;14;Paul Holmes;358;Washington;WA;42079;108.010;Everett;12;6;7,5%;1.279,70;639,85
SO - 0005124;Distributor;17/01/2020;22/01/2020;23/01/2020;USD;21;Samuel Fowler;128;Florida;FL;38474;137.132;Miramar;24;4;5%;3.095,40;2.073,92
SO - 0005125;In-Store;17/01/2020;29/01/2020;04/02/2020;USD;1;Adam Hernandez;50;California;CA;51693;204.198;Moreno Valley;2;2;15%;174,20;146,33
SO - 0005126;Distributor;17/01/2020;08/02/2020;17/02/2020;USD;25;Patrick Graham;1;Alabama;AL;89972;212.461;Birmingham;34;2;10%;978,20;684,74
SO - 0005127;In-Store;17/01/2020;02/02/2020;05/02/2020;USD;1;Adam Hernandez;339;Texas;TX;36409;100.450;San Angelo;16;1;5%;227,80;148,07
SO - 0005128;Distributor;17/01/2020;07/02/2020;11/02/2020;USD;21;Samuel Fowler;11;Arizona;AZ;525610;1.563.025;Phoenix;12;4;5%;227,80;161,74
SO - 0005129;Online;17/01/2020;10/02/2020;17/02/2020;USD;14;Paul Holmes;288;Oregon;OR;66093;163.460;Eugene;4;4;15%;6.318,10;4.738,58
SO - 0005130;Online;17/01/2020;10/02/2020;19/02/2020;USD;13;Todd Roberts;87;California;CA;41730;130.104;Visalia;47;3;5%;1.701,80;935,99
SO - 0005131;Distributor;17/01/2020;10/02/2020;11/02/2020;USD;25;Patrick Graham;334;Texas;TX;49256;153.784;Pasadena;24;6;7,5%;3.055,20;2.230,30
SO - 0005132;Distributor;17/01/2020;28/01/2020;05/02/2020;USD;22;Joe Price;92;Colorado;CO;42165;107.349;Boulder;36;5;5%;877,70;728,49
SO - 0005133;Distributor;18/01/2020;07/02/2020;10/02/2020;USD;23;Douglas Tucker;303;Tennessee;TN;81073;185.291;Knoxville;28;7;15%;1.098,80;901,02
SO - 0005134;In-Store;18/01/2020;23/01/2020;02/02/2020;USD;7;Shawn Cook;90;Colorado;CO;44615;115.368;Arvada;27;3;5%;958,10;469,47
SO - 0005135;In-Store;18/01/2020;23/01/2020;30/01/2020;USD;9;Joshua Ryan;276;New York;NY;523690;1.455.444;The Bronx;31;3;7,5%;1.005,00;452,25
SO - 0006700;Online;19/07/2020;22/07/2020;25/07/2020;USD;17;Frank Brown;152;Illinois;IL;44798;148.308;Aurora (Township);1;1;10%;1.031,80;794,49
SO - 0005137;Wholesale;18/01/2020;05/02/2020;08/02/2020;USD;28;Carlos Miller;267;New York;NY;3113535;8.550.405;New York City;43;4;15%;1.058,60;698,68
SO - 0005138;Wholesale;19/01/2020;02/02/2020;05/02/2020;USD;28;Carlos Miller;340;Texas;TX;488645;1.469.845;San Antonio;26;3;7,5%;5.540,90;2.438,00
SO - 0005139;Online;19/01/2020;22/01/2020;31/01/2020;USD;17;Frank Brown;298;South Carolina;SC;44506;133.803;Columbia;6;8;15%;1.132,30;600,12
SO - 0005140;In-Store;19/01/2020;05/02/2020;15/02/2020;USD;2;Keith Griffin;51;California;CA;32685;109.830;Murrieta;26;5;5%;1.125,60;506,52
SO - 0005141;In-Store;19/01/2020;04/02/2020;08/02/2020;USD;8;George Lewis;326;Texas;TX;66308;255.473;Laredo;37;3;5%;2.552,70;1.225,30
SO - 0005142;In-Store;19/01/2020;03/02/2020;08/02/2020;USD;10;Jonathan Hawkins;142;Georgia;GA;72760;200.579;Columbus;34;2;7,5%;1.018,40;661,96
SO - 0005143;Wholesale;19/01/2020;12/02/2020;13/02/2020;USD;27;Shawn Torres;305;Tennessee;TN;44518;126.118;Murfreesboro;24;6;5%;964,80;472,75
SO - 0005144;Distributor;19/01/2020;09/02/2020;10/02/2020;USD;25;Patrick Graham;42;California;CA;74460;201.899;Huntington Beach;4;7;5%;964,80;685,01
SO - 0005145;In-Store;19/01/2020;22/01/2020;28/01/2020;USD;10;Jonathan Hawkins;36;California;CA;72684;232.206;Fremont;18;8;7,5%;2.492,40;996,96
SO - 0005146;Wholesale;19/01/2020;06/02/2020;09/02/2020;USD;28;Carlos Miller;215;Michigan;MI;73026;195.097;Grand Rapids;32;6;40%;971,50;806,35
SO - 0005147;Distributor;19/01/2020;02/02/2020;09/02/2020;USD;20;Anthony Torres;2;Alabama;AL;78554;190.582;Huntsville;34;1;20%;1.065,30;777,67
SO - 0005148;Distributor;19/01/2020;30/01/2020;05/02/2020;USD;22;Joe Price;199;Kentucky;KY;125752;314.488;Lexington-Fayette;24;1;15%;6.130,50;3.310,47
SO - 0005149;In-Store;20/01/2020;31/01/2020;09/02/2020;USD;12;Carl Nguyen;84;California;CA;55377;148.475;Torrance;15;4;15%;2.653,20;1.936,84
SO - 0005150;Distributor;20/01/2020;23/01/2020;27/01/2020;USD;22;Joe Price;79;California;CA;41972;126.788;Simi Valley;26;6;10%;1.125,60;607,82
SO - 0005151;Online;20/01/2020;03/02/2020;07/02/2020;USD;17;Frank Brown;113;District of Columbia;DC;273390;672.228;Washington;8;8;15%;857,60;531,71
SO - 0005152;Online;20/01/2020;05/02/2020;15/02/2020;USD;16;Anthony Berry;111;Connecticut;CT;40213;108.802;Waterbury;3;1;20%;1.782,20;1.354,47
SO - 0005153;Distributor;20/01/2020;06/02/2020;08/02/2020;USD;24;Roy Rice;70;California;CA;485091;1.394.928;San Diego;8;6;7,5%;2.010,00;1.045,20
SO - 0005154;In-Store;21/01/2020;02/02/2020;08/02/2020;USD;6;Joshua Bennett;313;Texas;TX;45263;133.168;Carrollton;38;4;5%;857,60;660,35
SO - 0005155;Online;21/01/2020;03/02/2020;13/02/2020;USD;13;Todd Roberts;28;California;CA;32738;114.219;Downey;18;5;10%;871,00;644,54
SO - 0005156;Distributor;21/01/2020;25/01/2020;28/01/2020;USD;23;Douglas Tucker;73;California;CA;37861;103.536;San Mateo;39;8;7,5%;2.559,40;1.945,14
SO - 0005157;Distributor;21/01/2020;02/02/2020;11/02/2020;USD;25;Patrick Graham;51;California;CA;32685;109.830;Murrieta;46;7;5%;3.812,30;1.601,17
SO - 0005158;In-Store;21/01/2020;12/02/2020;18/02/2020;USD;3;Jerry Green;126;Florida;FL;157347;441.003;Miami;12;7;7,5%;1.058,60;571,64
SO - 0005159;In-Store;21/01/2020;25/01/2020;03/02/2020;USD;4;Chris Armstrong;308;Texas;TX;74769;198.645;Amarillo;30;1;15%;2.479,00;1.958,41
SO - 0005160;In-Store;21/01/2020;24/01/2020;02/02/2020;USD;2;Keith Griffin;171;Illinois;IL;43267;104.291;Peoria City;20;5;10%;1.742,00;1.480,70
SO - 0005161;Online;21/01/2020;30/01/2020;08/02/2020;USD;19;Nicholas Cunningham;341;Texas;TX;38114;102.911;The Woodlands;12;2;5%;3.162,40;1.739,32
SO - 0005162;Online;21/01/2020;03/02/2020;07/02/2020;USD;16;Anthony Berry;163;Illinois;IL;39769;112.890;Lyons (Township);22;2;5%;207,70;97,62
SO - 0005163;Online;21/01/2020;13/02/2020;21/02/2020;USD;17;Frank Brown;141;Georgia;GA;73917;201.793;Augusta;7;6;7,5%;931,30;605,35
SO - 0005165;Online;21/01/2020;12/02/2020;16/02/2020;USD;14;Paul Holmes;297;South Carolina;SC;52450;132.609;Charleston;4;8;40%;1.165,80;909,32
SO - 0005166;In-Store;22/01/2020;28/01/2020;31/01/2020;USD;6;Joshua Bennett;262;New York;NY;110549;258.071;Buffalo;12;5;5%;1.909,50;954,75
SO - 0005167;In-Store;22/01/2020;08/02/2020;15/02/2020;USD;9;Joshua Ryan;36;California;CA;72684;232.206;Fremont;6;7;5%;6.244,40;5.057,96
SO - 0005168;Online;22/01/2020;03/02/2020;08/02/2020;USD;17;Frank Brown;31;California;CA;49316;166.913;Elk Grove;4;4;7,5%;3.872,60;3.252,98
SO - 0005169;Online;22/01/2020;31/01/2020;09/02/2020;USD;12;Carl Nguyen;141;Georgia;GA;73917;201.793;Augusta;23;4;30%;1.762,10;1.180,61
SO - 0005170;Online;22/01/2020;26/01/2020;30/01/2020;USD;17;Frank Brown;239;Nebraska;NE;107574;277.348;Lincoln;29;3;7,5%;2.552,70;1.480,57
SO - 0005171;Wholesale;22/01/2020;13/02/2020;23/02/2020;USD;27;Shawn Torres;199;Kentucky;KY;125752;314.488;Lexington-Fayette;23;4;10%;1.005,00;502,50
SO - 0005172;Online;22/01/2020;02/02/2020;03/02/2020;USD;17;Frank Brown;81;California;CA;55094;151.754;Sunnyvale;37;4;5%;1.340,00;978,20
SO - 0005173;Distributor;22/01/2020;31/01/2020;08/02/2020;USD;25;Patrick Graham;298;South Carolina;SC;44506;133.803;Columbia;5;1;5%;1.842,50;921,25
SO - 0005174;Wholesale;22/01/2020;17/02/2020;21/02/2020;USD;26;Donald Reynolds;34;California;CA;34623;112.970;Fairfield;35;2;40%;3.852,50;3.236,10
SO - 0005175;In-Store;23/01/2020;10/02/2020;17/02/2020;USD;5;Stephen Payne;102;Colorado;CO;42239;113.130;Westminster;25;3;10%;1.212,70;715,49
SO - 0005176;Online;23/01/2020;13/02/2020;20/02/2020;USD;14;Paul Holmes;32;California;CA;30752;116.732;El Monte;38;1;5%;3.819,00;2.940,63
SO - 0005177;Distributor;23/01/2020;27/01/2020;29/01/2020;USD;22;Joe Price;97;Colorado;CO;33774;100.883;Greeley;2;8;20%;1.065,30;532,65
SO - 0005178;Wholesale;23/01/2020;02/02/2020;06/02/2020;USD;28;Carlos Miller;311;Texas;TX;46193;118.129;Beaumont;15;6;10%;1.862,60;1.192,06
SO - 0005179;Wholesale;23/01/2020;28/01/2020;04/02/2020;USD;26;Donald Reynolds;345;Utah;UT;32506;115.264;Provo;42;4;10%;1.989,90;1.154,14
SO - 0005180;Online;23/01/2020;17/02/2020;18/02/2020;USD;16;Anthony Berry;211;Maryland;MD;242268;621.849;Baltimore;29;8;7,5%;2.693,40;2.289,39
SO - 0005181;Distributor;23/01/2020;13/02/2020;20/02/2020;USD;22;Joe Price;227;Mississippi;MS;62671;170.674;Jackson;2;7;40%;4.020,00;2.613,00
SO - 0005182;Online;23/01/2020;17/02/2020;22/02/2020;USD;12;Carl Nguyen;214;Michigan;MI;255740;677.116;Detroit;9;3;10%;1.212,70;557,84
SO - 0005183;Online;23/01/2020;12/02/2020;15/02/2020;USD;18;Shawn Wallace;213;Michigan;MI;47179;117.070;Ann Arbor;45;3;10%;3.484,00;2.891,72
SO - 0005184;Online;24/01/2020;07/02/2020;17/02/2020;USD;15;Roger Alexander;131;Florida;FL;56171;166.611;Pembroke Pines;36;3;30%;3.845,80;2.499,77
SO - 0005185;Distributor;24/01/2020;07/02/2020;11/02/2020;USD;21;Samuel Fowler;155;Illinois;IL;50476;116.358;Capital;42;2;20%;2.398,60;1.703,01
SO - 0005186;In-Store;24/01/2020;17/02/2020;20/02/2020;USD;3;Jerry Green;360;Washington;WA;37994;100.242;Renton;4;5;7,5%;6.123,80;3.919,23
SO - 0005187;In-Store;24/01/2020;07/02/2020;16/02/2020;USD;1;Adam Hernandez;83;California;CA;45912;129.339;Thousand Oaks;11;3;10%;1.788,90;1.216,45
SO - 0005188;In-Store;24/01/2020;29/01/2020;08/02/2020;USD;10;Jonathan Hawkins;55;California;CA;47375;171.214;Ontario;9;3;5%;3.926,20;2.002,36
SO - 0005189;Online;24/01/2020;30/01/2020;07/02/2020;USD;18;Shawn Wallace;31;California;CA;49316;166.913;Elk Grove;47;7;10%;180,90;124,82
SO - 0005190;Distributor;24/01/2020;31/01/2020;06/02/2020;USD;24;Roy Rice;40;California;CA;71498;201.020;Glendale;38;3;5%;3.169,10;2.313,44
SO - 0005191;Wholesale;24/01/2020;07/02/2020;11/02/2020;USD;26;Donald Reynolds;267;New York;NY;3113535;8.550.405;New York City;11;1;15%;1.172,50;539,35
SO - 0005192;Online;25/01/2020;04/02/2020;06/02/2020;USD;17;Frank Brown;84;California;CA;55377;148.475;Torrance;2;5;5%;3.959,70;2.573,81
SO - 0005193;In-Store;25/01/2020;06/02/2020;07/02/2020;USD;10;Jonathan Hawkins;126;Florida;FL;157347;441.003;Miami;16;7;5%;194,30;108,81
SO - 0005194;In-Store;25/01/2020;02/02/2020;04/02/2020;USD;12;Carl Nguyen;29;California;CA;31400;127.610;East Los Angeles;22;8;5%;2.318,20;1.877,74
SO - 0005195;In-Store;25/01/2020;05/02/2020;14/02/2020;USD;10;Jonathan Hawkins;301;Tennessee;TN;70228;176.588;Chattanooga;18;3;10%;1.916,20;1.494,64
SO - 0005196;In-Store;25/01/2020;05/02/2020;06/02/2020;USD;6;Joshua Bennett;73;California;CA;37861;103.536;San Mateo;22;5;5%;2.512,50;1.055,25
SO - 0005197;In-Store;25/01/2020;27/01/2020;05/02/2020;USD;4;Chris Armstrong;352;Virginia;VA;52940;136.454;Hampton;29;6;15%;174,20;102,78
SO - 0005198;Online;26/01/2020;12/02/2020;13/02/2020;USD;19;Nicholas Cunningham;340;Texas;TX;488645;1.469.845;San Antonio;5;1;10%;5.668,20;3.344,24
SO - 0005199;In-Store;26/01/2020;12/02/2020;16/02/2020;USD;2;Keith Griffin;169;Illinois;IL;42938;114.057;Palatine (Township);17;3;30%;1.876,00;1.106,84
SO - 0005200;In-Store;26/01/2020;03/02/2020;04/02/2020;USD;1;Adam Hernandez;366;Wisconsin;WI;104087;248.951;Madison;2;6;10%;1.969,80;886,41
SO - 0005201;In-Store;26/01/2020;16/02/2020;26/02/2020;USD;1;Adam Hernandez;244;New Jersey;NJ;99058;264.290;Jersey City;26;5;7,5%;1.045,20;836,16
SO - 0005202;In-Store;26/01/2020;15/02/2020;19/02/2020;USD;1;Adam Hernandez;276;New York;NY;523690;1.455.444;The Bronx;25;5;20%;5.681,60;2.727,17
SO - 0005203;In-Store;26/01/2020;03/02/2020;09/02/2020;USD;1;Adam Hernandez;147;Iowa;IA;53328;130.405;Cedar Rapids;29;5;15%;1.105,50;442,20
SO - 0005204;In-Store;26/01/2020;02/02/2020;05/02/2020;USD;5;Stephen Payne;64;California;CA;91267;322.424;Riverside;2;7;15%;5.427,00;2.170,80
SO - 0005205;Online;27/01/2020;24/02/2020;04/03/2020;USD;18;Shawn Wallace;140;Georgia;GA;185820;463.878;Atlanta;31;7;5%;2.378,50;1.403,32
SO - 0005206;In-Store;27/01/2020;17/02/2020;20/02/2020;USD;6;Joshua Bennett;42;California;CA;74460;201.899;Huntington Beach;16;5;7,5%;5.038,40;2.418,43
SO - 0005207;Online;27/01/2020;04/02/2020;05/02/2020;USD;13;Todd Roberts;9;Arizona;AZ;168914;471.825;Mesa;3;1;5%;857,60;497,41
SO - 0005208;In-Store;27/01/2020;08/02/2020;10/02/2020;USD;5;Stephen Payne;147;Iowa;IA;53328;130.405;Cedar Rapids;8;8;20%;1.728,60;1.417,45
SO - 0005209;In-Store;27/01/2020;06/02/2020;14/02/2020;USD;6;Joshua Bennett;241;New Hampshire;NH;45145;110.229;Manchester;47;5;7,5%;221,10;163,61
SO - 0005210;In-Store;27/01/2020;23/02/2020;01/03/2020;USD;5;Stephen Payne;249;New Mexico;NM;38925;101.643;Las Cruces;16;4;5%;1.118,90;637,77
SO - 0005211;Distributor;27/01/2020;19/02/2020;29/02/2020;USD;23;Douglas Tucker;153;Illinois;IL;40097;113.024;Bloomingdale (Township);10;6;10%;207,70;137,08
SO - 0005212;Online;27/01/2020;23/02/2020;28/02/2020;USD;16;Anthony Berry;85;California;CA;41216;121.253;Vallejo;28;3;5%;1.051,90;641,66
SO - 0005213;Distributor;28/01/2020;15/02/2020;20/02/2020;USD;22;Joe Price;140;Georgia;GA;185820;463.878;Atlanta;21;5;7,5%;214,40;107,20
SO - 0005214;In-Store;28/01/2020;16/02/2020;24/02/2020;USD;8;George Lewis;32;California;CA;30752;116.732;El Monte;2;5;10%;6.485,60;4.734,49
SO - 0005215;In-Store;28/01/2020;16/02/2020;19/02/2020;USD;9;Joshua Ryan;255;Nevada;NV;92283;241.445;Reno;13;4;10%;2.706,80;1.569,94
SO - 0005216;Distributor;28/01/2020;14/02/2020;23/02/2020;USD;25;Patrick Graham;49;California;CA;70481;211.266;Modesto;5;8;7,5%;951,40;589,87
SO - 0005217;Distributor;28/01/2020;25/02/2020;04/03/2020;USD;22;Joe Price;268;New York;NY;76523;230.614;North Hempstead;46;6;7,5%;1.983,20;1.487,40
SO - 0005218;Distributor;28/01/2020;16/02/2020;20/02/2020;USD;23;Douglas Tucker;45;California;CA;24839;100.314;Jurupa Valley;25;2;10%;3.872,60;2.517,19
SO - 0005219;Online;28/01/2020;24/02/2020;04/03/2020;USD;14;Paul Holmes;214;Michigan;MI;255740;677.116;Detroit;41;5;7,5%;3.999,90;3.119,92
SO - 0005220;Online;29/01/2020;17/02/2020;19/02/2020;USD;14;Paul Holmes;270;New York;NY;782664;2.339.150;Queens;25;5;30%;2.244,50;1.773,16
SO - 0005221;Distributor;29/01/2020;31/01/2020;05/02/2020;USD;23;Douglas Tucker;139;Georgia;GA;45389;123.912;Athens;18;3;7,5%;1.748,70;699,48
SO - 0005222;Online;29/01/2020;09/02/2020;12/02/2020;USD;15;Roger Alexander;30;California;CA;32564;103.679;El Cajon;24;6;5%;3.845,80;1.615,24
SO - 0005223;In-Store;29/01/2020;10/02/2020;17/02/2020;USD;4;Chris Armstrong;91;Colorado;CO;124031;359.407;Aurora;29;4;7,5%;2.398,60;1.990,84
SO - 0005224;In-Store;29/01/2020;06/02/2020;13/02/2020;USD;2;Keith Griffin;128;Florida;FL;38474;137.132;Miramar;23;8;7,5%;5.554,30;4.276,81
SO - 0005225;Online;29/01/2020;11/02/2020;18/02/2020;USD;16;Anthony Berry;345;Utah;UT;32506;115.264;Provo;5;4;15%;3.926,20;2.630,55
SO - 0005226;Wholesale;29/01/2020;19/02/2020;20/02/2020;USD;26;Donald Reynolds;157;Illinois;IL;56956;149.401;Downers Grove (Township);31;4;5%;6.231,00;3.177,81
SO - 0005227;Online;29/01/2020;06/02/2020;11/02/2020;USD;12;Carl Nguyen;138;Florida;FL;41474;106.779;West Palm Beach;12;2;5%;6.056,80;4.118,62
SO - 0005228;In-Store;30/01/2020;07/02/2020;09/02/2020;USD;7;Shawn Cook;273;New York;NY;39425;118.275;Smithtown;16;4;7,5%;2.552,70;1.327,40
SO - 0005229;In-Store;30/01/2020;05/02/2020;08/02/2020;USD;5;Stephen Payne;251;Nevada;NV;104492;285.667;Henderson;21;7;5%;1.038,50;882,73
SO - 0005230;In-Store;30/01/2020;15/02/2020;16/02/2020;USD;1;Adam Hernandez;245;New Jersey;NJ;92675;281.944;Newark;13;3;7,5%;6.244,40;5.182,85
SO - 0005231;In-Store;30/01/2020;25/02/2020;02/03/2020;USD;9;Joshua Ryan;180;Illinois;IL;47997;125.730;York;42;8;5%;3.852,50;1.926,25
SO - 0005232;In-Store;30/01/2020;20/02/2020;25/02/2020;USD;5;Stephen Payne;54;California;CA;60493;175.691;Oceanside;17;5;10%;3.906,10;2.812,39
SO - 0005233;Distributor;30/01/2020;27/02/2020;05/03/2020;USD;22;Joe Price;176;Illinois;IL;50575;116.565;Springfield;41;1;20%;227,80;111,62
SO - 0005234;In-Store;30/01/2020;14/02/2020;16/02/2020;USD;6;Joshua Bennett;186;Indiana;IN;48011;123.397;Lawrence (Township);43;6;10%;3.457,20;1.486,60
SO - 0005235;In-Store;30/01/2020;23/02/2020;26/02/2020;USD;4;Chris Armstrong;199;Kentucky;KY;125752;314.488;Lexington-Fayette;24;8;5%;2.412,00;1.712,52
SO - 0005236;Wholesale;31/01/2020;19/02/2020;23/02/2020;USD;26;Donald Reynolds;193;Indiana;IN;52540;142.010;Wayne;9;5;20%;4.006,60;3.285,41
SO - 0005237;In-Store;31/01/2020;19/02/2020;25/02/2020;USD;4;Chris Armstrong;367;Wisconsin;WI;230807;600.155;Milwaukee;33;4;7,5%;261,30;107,13
SO - 0005238;Online;31/01/2020;22/02/2020;25/02/2020;USD;18;Shawn Wallace;86;California;CA;31886;122.225;Victorville;32;5;5%;938,00;534,66
SO - 0005239;Online;31/01/2020;18/02/2020;27/02/2020;USD;16;Anthony Berry;269;New York;NY;98509;298.768;Oyster Bay;32;3;5%;3.028,40;2.150,16
SO - 0005240;Online;31/01/2020;20/02/2020;21/02/2020;USD;16;Anthony Berry;31;California;CA;49316;166.913;Elk Grove;28;8;10%;2.546,00;1.476,68
SO - 0007047;Online;31/08/2020;06/09/2020;15/09/2020;USD;19;Nicholas Cunningham;63;California;CA;36973;109.708;Richmond;1;1;10%;174,20;128,91
SO - 0005242;Online;31/01/2020;23/02/2020;24/02/2020;USD;13;Todd Roberts;132;Florida;FL;41422;107.762;Pompano Beach;19;6;10%;214,40;96,48
SO - 0005243;Online;01/02/2020;19/02/2020;27/02/2020;USD;19;Nicholas Cunningham;217;Michigan;MI;49444;132.052;Sterling Heights;32;5;5%;3.845,80;1.922,90
SO - 0005244;Wholesale;01/02/2020;09/02/2020;17/02/2020;USD;26;Donald Reynolds;18;California;CA;112439;373.640;Bakersfield;16;3;5%;1.038,50;737,34
SO - 0005245;In-Store;01/02/2020;13/02/2020;18/02/2020;USD;1;Adam Hernandez;338;Texas;TX;35580;115.997;Round Rock;37;8;20%;234,50;93,80
SO - 0005246;Distributor;01/02/2020;09/02/2020;17/02/2020;USD;22;Joe Price;187;Indiana;IN;58240;157.105;North;14;5;5%;904,50;443,21
SO - 0005247;In-Store;01/02/2020;21/02/2020;23/02/2020;USD;10;Jonathan Hawkins;112;Connecticut;CT;40213;108.802;Waterbury (Town);31;3;7,5%;1.728,60;1.019,87
SO - 0005248;In-Store;01/02/2020;21/02/2020;28/02/2020;USD;7;Shawn Cook;245;New Jersey;NJ;92675;281.944;Newark;23;4;5%;743,70;312,35
SO - 0005249;In-Store;02/02/2020;04/02/2020;09/02/2020;USD;1;Adam Hernandez;9;Arizona;AZ;168914;471.825;Mesa;9;8;20%;1.192,60;632,08
SO - 0005250;In-Store;02/02/2020;14/02/2020;21/02/2020;USD;5;Stephen Payne;206;Massachusetts;MA;256294;667.137;Boston;37;3;7,5%;2.211,00;1.392,93
SO - 0005251;In-Store;02/02/2020;05/02/2020;11/02/2020;USD;3;Jerry Green;110;Connecticut;CT;46974;128.874;Stamford (Town);13;7;10%;837,50;502,50
SO - 0005252;In-Store;02/02/2020;07/02/2020;14/02/2020;USD;11;Joshua Little;178;Illinois;IL;59425;155.286;Wheeling (Township);35;7;5%;2.505,80;1.603,71
SO - 0005253;Wholesale;02/02/2020;19/02/2020;23/02/2020;USD;27;Shawn Torres;156;Illinois;IL;1035436;2.720.546;Chicago;19;1;10%;194,30;114,64
SO - 0005254;Online;02/02/2020;11/02/2020;20/02/2020;USD;16;Anthony Berry;16;California;CA;99670;350.742;Anaheim;24;3;7,5%;1.969,80;1.181,88
SO - 0005255;Online;02/02/2020;27/02/2020;06/03/2020;USD;17;Frank Brown;21;California;CA;42791;113.453;Carlsbad;15;2;7,5%;1.929,60;1.485,79
SO - 0005256;In-Store;02/02/2020;09/02/2020;14/02/2020;USD;3;Jerry Green;315;Texas;TX;114817;324.074;Corpus Christi;11;2;10%;207,70;95,54
SO - 0005257;In-Store;02/02/2020;11/02/2020;15/02/2020;USD;10;Jonathan Hawkins;229;North Carolina;NC;56034;159.769;Cary;16;7;7,5%;3.906,10;3.046,76
SO - 0005258;Wholesale;02/02/2020;11/02/2020;14/02/2020;USD;27;Shawn Torres;281;Ohio;OH;334724;850.106;Columbus;34;3;40%;3.879,30;3.025,85
SO - 0005259;In-Store;02/02/2020;04/02/2020;13/02/2020;USD;4;Chris Armstrong;76;California;CA;59247;182.371;Santa Clarita;38;8;5%;2.438,80;1.999,82
SO - 0005260;Online;03/02/2020;20/02/2020;23/02/2020;USD;19;Nicholas Cunningham;261;New York;NY;880727;2.636.735;Brooklyn;21;7;5%;2.278,00;1.070,66
SO - 0005261;In-Store;03/02/2020;01/03/2020;07/03/2020;USD;7;Shawn Cook;143;Georgia;GA;57025;153.515;Macon;41;5;7,5%;6.237,70;4.803,03
SO - 0005262;Online;03/02/2020;07/02/2020;16/02/2020;USD;20;Anthony Torres;262;New York;NY;110549;258.071;Buffalo;42;4;5%;5.098,70;4.180,93
SO - 0005263;Distributor;03/02/2020;22/02/2020;26/02/2020;USD;25;Patrick Graham;311;Texas;TX;46193;118.129;Beaumont;13;1;7,5%;1.943,00;1.515,54
SO - 0005264;Online;03/02/2020;02/03/2020;11/03/2020;USD;19;Nicholas Cunningham;209;Massachusetts;MA;55644;154.341;Springfield;19;6;5%;824,10;354,36
SO - 0005265;Distributor;03/02/2020;08/02/2020;10/02/2020;USD;21;Samuel Fowler;268;New York;NY;76523;230.614;North Hempstead;10;3;30%;1.072,00;600,32
SO - 0005266;In-Store;03/02/2020;24/02/2020;27/02/2020;USD;1;Adam Hernandez;73;California;CA;37861;103.536;San Mateo;21;6;15%;2.539,30;1.904,48
SO - 0005267;Online;03/02/2020;01/03/2020;06/03/2020;USD;16;Anthony Berry;45;California;CA;24839;100.314;Jurupa Valley;10;3;7,5%;2.345,00;1.195,95
SO - 0005268;Wholesale;03/02/2020;05/02/2020;12/02/2020;USD;28;Carlos Miller;296;Rhode Island;RI;61481;179.207;Providence;8;7;40%;1.025,10;563,81
SO - 0005269;Distributor;04/02/2020;21/02/2020;29/02/2020;USD;24;Roy Rice;29;California;CA;31400;127.610;East Los Angeles;25;8;5%;991,60;545,38
SO - 0005270;Online;04/02/2020;16/02/2020;18/02/2020;USD;18;Shawn Wallace;85;California;CA;41216;121.253;Vallejo;42;4;7,5%;2.345,00;1.735,30
SO - 0005271;In-Store;04/02/2020;19/02/2020;29/02/2020;USD;8;George Lewis;20;California;CA;41361;105.319;Burbank;41;8;5%;1.701,80;1.276,35
SO - 0005272;In-Store;04/02/2020;03/03/2020;11/03/2020;USD;11;Joshua Little;63;California;CA;36973;109.708;Richmond;22;5;20%;174,20;123,68
SO - 0005273;In-Store;04/02/2020;15/02/2020;21/02/2020;USD;8;George Lewis;275;New York;NY;54781;144.142;Syracuse;42;7;15%;1.058,60;868,05
SO - 0005274;Distributor;04/02/2020;09/02/2020;12/02/2020;USD;21;Samuel Fowler;64;California;CA;91267;322.424;Riverside;6;4;5%;3.966,40;2.379,84
SO - 0005275;Distributor;05/02/2020;03/03/2020;09/03/2020;USD;22;Joe Price;227;Mississippi;MS;62671;170.674;Jackson;16;6;10%;201,00;120,60
SO - 0005276;Distributor;05/02/2020;29/02/2020;05/03/2020;USD;22;Joe Price;203;Louisiana;LA;59557;140.074;Metairie;36;8;10%;2.358,40;1.462,21
SO - 0005277;Wholesale;05/02/2020;29/02/2020;06/03/2020;USD;28;Carlos Miller;237;North Carolina;NC;93267;241.218;Winston-Salem;17;6;15%;6.257,80;3.066,32
SO - 0005278;In-Store;05/02/2020;27/02/2020;02/03/2020;USD;7;Shawn Cook;231;North Carolina;NC;100513;257.636;Durham;5;7;15%;931,30;689,16
SO - 0005279;Online;05/02/2020;09/02/2020;11/02/2020;USD;18;Shawn Wallace;27;California;CA;31137;106.562;Daly City;31;1;5%;1.172,50;750,40
SO - 0005280;In-Store;06/02/2020;29/02/2020;03/03/2020;USD;8;George Lewis;362;Washington;WA;87623;213.272;Spokane;14;4;10%;1.922,90;1.288,34
